State,Red,Yellow,Green,Total,Red(%),Yellow(%),Green(%)
Jammu & Kashmir,12,5,5,22,54.54545454545455,22.727272727272727,22.727272727272727
Himachal Pradesh,0,6,6,12,0.0,50.0,50.0
Punjab,3,15,4,22,13.636363636363637,68.18181818181819,18.181818181818183
Chandigarh,1,0,0,1,100.0,0.0,0.0
Uttarakhand,0,6,7,13,0.0,46.15384615384615,53.84615384615385
Haryana,0,22,0,22,0.0,100.0,0.0
Delhi,11,0,0,11,100.0,0.0,0.0
Uttar Pradesh,20,35,20,75,26.666666666666668,46.666666666666664,26.666666666666668
Rajasthan,15,13,5,33,45.45454545454545,39.39393939393939,15.151515151515152
Bihar,6,19,13,38,15.789473684210526,50.0,34.21052631578947
Sikkim,0,0,4,4,0.0,0.0,100.0
Arunachal Pradesh,0,0,20,20,0.0,0.0,100.0
Nagaland,0,0,11,11,0.0,0.0,100.0
Manipur,0,0,16,16,0.0,0.0,100.0
Mizoram,0,0,8,8,0.0,0.0,100.0
Assam,0,3,30,33,0.0,9.090909090909092,90.9090909090909
Tripura,0,2,6,8,0.0,25.0,75.0
Meghalaya,0,1,10,11,0.0,9.090909090909092,90.9090909090909
West Bengal,14,2,7,23,60.869565217391305,8.695652173913043,30.434782608695652
Jharkhand,1,8,15,24,4.166666666666667,33.333333333333336,62.5
Odisha,3,6,21,30,10.0,20.0,70.0
Chhattisgarh,1,2,24,27,3.7037037037037037,7.407407407407407,88.88888888888889
Madhya Pradesh,10,0,41,51,19.607843137254903,0.0,80.3921568627451
Gujarat,9,19,5,33,27.272727272727273,57.57575757575758,15.151515151515152
Daman & Diu,0,0,2,2,0.0,0.0,100.0
Dadra & Nagar Have,0,0,1,1,0.0,0.0,100.0
Maharashtra,11,1,24,36,30.555555555555557,2.7777777777777777,66.66666666666667
Karnataka,3,12,15,30,10.0,40.0,50.0
Goa,0,0,2,2,0.0,0.0,100.0
Lakshadweep,0,0,1,1,0.0,0.0,100.0
Kerala,2,10,2,14,14.285714285714286,71.42857142857143,14.285714285714286
Tamil Nadu,9,18,5,32,28.125,56.25,15.625
Puducherry,0,1,3,4,0.0,25.0,75.0
Telangana,6,17,8,31,19.35483870967742,54.83870967741935,25.806451612903224
Andhra Pradesh,5,7,1,13,38.46153846153846,53.84615384615385,7.6923076923076925
Andaman & Nicobar,0,0,3,3,0.0,0.0,100.0
